image_a,image_b,dsc,fpr,tpr
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0001_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0001_normalized_nodule.nii.gz,0.9146630123333749,0.03572366692934069,1.574810151472928e-05
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0002_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0002_normalized_nodule.nii.gz,0.7532186909156388,0.02686983831569152,7.675667652624278e-05
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0003_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0003_normalized_nodule.nii.gz,0.9314440508439258,0.0341400172860847,6.812388934217011e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0004_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0004_normalized_nodule.nii.gz,0.7835051546391751,0.11627906976744186,5.065165090033784e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0005_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0005_normalized_nodule.nii.gz,0.7123287671232876,0.09565217391304348,2.0937881121422586e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0006_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0006_normalized_nodule.nii.gz,0.7218543046357616,0.32298136645962733,9.178261368259065e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0007_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0007_normalized_nodule.nii.gz,0.9518434009847484,0.05191387559808613,4.841251674046945e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0008_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0008_normalized_nodule.nii.gz,0.8286852589641435,0.1937984496124031,5.162767281122975e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0010_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0010_normalized_nodule.nii.gz,0.8071065989847716,0.2570093457943925,2.892017280381654e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0011_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0011_normalized_nodule.nii.gz,0.8861689106487148,0.17913832199546487,4.172379971133687e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0012_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0012_normalized_nodule.nii.gz,0.9311969839773797,0.1256637168141593,5.960564843390481e-08
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0013_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0013_normalized_nodule.nii.gz,0.7486674866748667,0.39335548172757473,6.408985764269263e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0014_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0014_normalized_nodule.nii.gz,0.8540899042004422,0.19457956914523974,3.881808696636885e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0015_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0015_normalized_nodule.nii.gz,0.8565997386242129,0.213053918358437,4.2165969087598705e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0016_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0016_normalized_nodule.nii.gz,0.9182501104728236,0.07808340727595386,2.6243753006025754e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0017_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0017_normalized_nodule.nii.gz,0.8533333333333333,0.2,2.404228672792684e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0018_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0018_normalized_nodule.nii.gz,0.8555078683834049,0.18231540565177756,6.1880269848442e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0019_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0019_normalized_nodule.nii.gz,0.8727112933938773,0.1556122448979592,8.005317131638835e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0020_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0020_normalized_nodule.nii.gz,0.8659217877094972,0.10919540229885058,4.916735424668442e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0021_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0021_normalized_nodule.nii.gz,0.906054279749478,0.01809954751131222,1.0496877370998177e-06
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0023_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0023_normalized_nodule.nii.gz,0.8995789205052954,0.09102630221763795,1.2085820464301578e-05
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0024_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0024_normalized_nodule.nii.gz,0.9032258064516129,0.14361702127659576,8.604765893002604e-07
Z:\SierenLab\NLST-429\LIDC-IDRI\kimberlysLIDC_comparatorSegs\0026_normalized_nodule.nii.gz,Z:\SierenLab\jkitzmann\Undergrad\Archive\LIDC_Training\Training_Segmentations\0026_normalized_nodule.nii.gz,0.7175572519083969,0.0,5.491980439465603e-07
